Temple,Latitude,Longitude,Address,City,State,Postal Code,Country,Phone
Aba Nigeria Temple,5°8'51"N,7°21'24"E,Okpu-Umuoba Road Off Aba-Owerri Road at Union Bank,Aba,Abia State,,Nigeria,(234) 803-903-4804
Accra Ghana Temple,5°34'2"N,-0°11'37"E,57 Independence Avenue North Ridge PMB CT 209 Cantonments,Accra,,,Ghana,(233) 302-650-113
Adelaide Australia Temple,34°53'32"S,138°38'6"E,53-59 Lower Portrush Road,Marden,South Australia,5070,Australia,(61) 8-8363-8000
Albuquerque New Mexico Temple,35°10'3"N,106°31'31"W,10301 San Francisco Drive NE,Albuquerque,New Mexico,87122-3437,United States,505-822-5110
Anchorage Alaska Temple,61°6'5"N,149°50'25"W,13161 Brayton Drive,Anchorage,Alaska,99516,United States,907-348-7890
Apia Samoa Temple,13°50'17"S,171°46'58"W,Vaitele Street,Pesega,Apia,,Samoa,(685) 64-230
Arequipa Peru Temple,16°22'28"S,71°32'17"W,,Arequipa,Arequipa,,Peru,
Asunción Paraguay Temple,25°17'16"S,57°36'10"W,Esquina Brasilia y España,Asunción,,1441,Paraguay,(595) 21-230-035
Atlanta Georgia Temple,33°55'54"N,84°21'44"W,6450 Barfield Road NE,Sandy Springs,Georgia,30328-4283,United States,770-393-3698
Barranquilla Colombia Temple,11°0'59"N,74°51'47"W,,Puerto Colombia,,,Colombia,
Baton Rouge Louisiana Temple,30°21'45"N,91°6'30"W,10339 Highland Road,Baton Rouge,Louisiana,70810,United States,225-769-1197
Bern Switzerland Temple,47°0'7"N,7°27'29"E,Tempelstrasse 2,Zollikofen,Bern,CH-3052,Switzerland,(41) 31-915-5252
Billings Montana Temple,45°48'1"N,108°38'21"W,3100 Rim Point Drive,Billings,Montana,59106-1386,United States,406-655-0607
Birmingham Alabama Temple,33°40'28"N,86°49'16"W,1927 Mount Olive Boulevard,Gardendale,Alabama,35071,United States,205-631-3444
Bismarck North Dakota Temple,46°50'20"N,100°48'50"W,2930 Cody Drive,Bismarck,North Dakota,58503,United States,701-258-9590
Bogotá Colombia Temple,4°42'28"N,74°3'22"W,Carrera 46 no. 127?45,Bogotá,Distrito Capital,,Colombia,(57) 1-625-8000
Boise Idaho Temple,43°35'36"N,116°16'30"W,1211 South Cole Road,Boise,Idaho,83709-1871,United States,208-322-4422
Boston Massachusetts Temple,42°24'43"N,71°11'17"W,86 Frontage Road,Belmont,Massachusetts,02478-2135,United States,617-993-9993
Bountiful Utah Temple,40°52'58"N,111°50'48"W,640 South Bountiful Boulevard,Bountiful,Utah,84010-1394,United States,801-296-2100
